"No.","Time","Source","Destination","Protocol","Length","Info"
"129","141.315773","192.168.100.161","192.168.100.76","TCP","56","61789  >  5050 [PSH, ACK] Seq=618 Ack=343 Win=5402 Len=2"
"130","141.316687","192.168.100.76","192.168.100.161","TCP","69","5050  >  61789 [PSH, ACK] Seq=343 Ack=620 Win=64001 Len=15"
"131","141.387979","192.168.100.161","192.168.100.76","TCP","54","61789  >  5050 [ACK] Seq=620 Ack=358 Win=5387 Len=0"
"132","142.334503","192.168.100.161","192.168.100.76","TCP","80","61789  >  5050 [PSH, ACK] Seq=620 Ack=358 Win=5387 Len=26"
"133","142.383192","192.168.100.76","192.168.100.161","TCP","54","5050  >  61789 [ACK] Seq=358 Ack=646 Win=63975 Len=0"
"134","142.454816","192.168.100.161","192.168.100.76","TCP","56","61789  >  5050 [PSH, ACK] Seq=646 Ack=358 Win=5387 Len=2"
"135","142.456066","192.168.100.76","192.168.100.161","TCP","69","5050  >  61789 [PSH, ACK] Seq=358 Ack=648 Win=63973 Len=15"
"136","142.635238","192.168.100.161","192.168.100.76","TCP","54","61789  >  5050 [ACK] Seq=648 Ack=373 Win=5372 Len=0"
"137","143.474220","192.168.100.161","192.168.100.76","TCP","80","61789  >  5050 [PSH, ACK] Seq=648 Ack=373 Win=5372 Len=26"
"138","143.515345","192.168.100.76","192.168.100.161","TCP","54","5050  >  61789 [ACK] Seq=373 Ack=674 Win=63947 Len=0"
"139","143.529168","192.168.100.161","192.168.100.76","TCP","56","61789  >  5050 [PSH, ACK] Seq=674 Ack=373 Win=5372 Len=2"
"140","143.530584","192.168.100.76","192.168.100.161","TCP","69","5050  >  61789 [PSH, ACK] Seq=373 Ack=676 Win=63945 Len=15"
"141","143.649194","192.168.100.161","192.168.100.76","TCP","54","61789  >  5050 [ACK] Seq=676 Ack=388 Win=5357 Len=0"
"142","144.624957","192.168.100.161","192.168.100.76","TCP","80","61789  >  5050 [PSH, ACK] Seq=676 Ack=388 Win=5357 Len=26"
"143","144.675237","192.168.100.76","192.168.100.161","TCP","54","5050  >  61789 [ACK] Seq=388 Ack=702 Win=63919 Len=0"
"144","145.074142","192.168.100.161","192.168.100.76","TCP","56","61789  >  5050 [PSH, ACK] Seq=702 Ack=388 Win=5357 Len=2"
"145","145.075217","192.168.100.76","192.168.100.161","TCP","68","5050  >  61789 [PSH, ACK] Seq=388 Ack=704 Win=63917 Len=14"
"146","145.391453","192.168.100.161","192.168.100.76","TCP","54","61789  >  5050 [ACK] Seq=704 Ack=402 Win=5343 Len=0"
